material_id,adsorbate_type,Nearest_Atom,Nearest_Normalized_Distance,disorder,alpha_Bi_Bi,alpha_Bi_La,alpha_Bi_Sn,alpha_La_Bi,alpha_La_La,alpha_La_Sn,alpha_Sn_Bi,alpha_Sn_La,alpha_Sn_Sn
CONTCAR-10_Bi_13,COOH,Bi,1.0559340066400154,1.0209705753184013,-0.803030303030303,1.0,-0.2318840579710144,,,,-2.090909090909091,1.0,1.0
CONTCAR-11_Bi_14,COOH,Bi,1.0661827736184126,0.5123517786561265,-0.5454545454545454,0.26086956521739135,0.26086956521739135,,,,-0.15909090909090895,1.0,-0.8478260869565216
CONTCAR-12_Bi_16,COOH,Bi,1.0429613500292712,1.005270092226614,1.0,1.0,-1.9565217391304346,,,,-1.0606060606060606,1.0,0.01449275362318847
CONTCAR-13_Bi_17,COOH,Bi,1.078268624713601,1.0892621870882742,0.2272727272727273,1.0,-1.217391304347826,,,,-2.090909090909091,1.0,1.0
CONTCAR-14_Bi_18,COOH,Bi,1.0525873948598976,0.6594202898550724,0.0,0.0,0.0,1.0,1.0,-1.9565217391304346,,,
CONTCAR-15_Bi_19,COOH,Bi,1.0578054716755567,0.7854633289415897,0.6666666666666666,0.6666666666666666,-1.3043478260869563,,,,-1.0606060606060606,1.0,0.01449275362318847
CONTCAR-16_Bi_20,COOH,Bi,1.053228863864184,0.6594202898550724,0.0,0.0,0.0,1.0,1.0,-1.9565217391304346,,,
CONTCAR-17_Bi_21,COOH,Bi,1.0516833806316315,0.33728590250329377,-0.5454545454545454,1.0,-0.4782608695652173,0.0,0.0,0.0,,,
CONTCAR-18_La_22,COOH,La,0.8972228126021703,1.172302737520129,1.0,1.0,-1.9565217391304346,0.6666666666666666,-1.3043478260869563,0.6666666666666666,1.0,1.0,-1.9565217391304346
CONTCAR-19_La_23,COOH,La,0.888174433299043,0.9306104523495828,0.48484848484848486,0.26086956521739135,-0.7246376811594202,1.0,-1.9565217391304346,1.0,0.48484848484848486,1.0,-1.4637681159420288
CONTCAR-1_Bi_0,COOH,Bi,1.0535768855098702,0.9995059288537549,1.0,1.0,-1.9565217391304346,,,,-0.9318181818181817,1.0,-0.10869565217391297
CONTCAR-20_La_24,COOH,La,0.889887956276919,0.6594202898550724,,,,0.0,0.0,0.0,1.0,1.0,-1.9565217391304346
CONTCAR-21_La_25,COOH,La,0.8809383055384367,0.6925779534475186,1.0,1.0,-1.9565217391304346,0.0,0.0,0.0,0.14141414141414144,1.0,-1.1352657004830917
CONTCAR-22_La_28,COOH,La,0.8954453576703669,0.6594202898550724,0.5,0.5,-0.9782608695652173,0.5,0.5,-0.9782608695652173,,,
CONTCAR-23_La_29,COOH,La,0.8819843648463798,0.3409090909090909,-1.0454545454545454,0.5,0.5,0.0,0.0,0.0,,,
CONTCAR-24_La_30,COOH,La,0.8929773284363809,0.3388779095300834,,,,0.3333333333333333,0.3333333333333333,-0.6521739130434782,0.09848484848484851,0.26086956521739135,-0.35507246376811585
CONTCAR-25_La_31,COOH,La,0.9092896443277942,0.3297101449275362,0.0,0.0,0.0,0.5,-0.9782608695652173,0.5,,,
CONTCAR-26_La_32,COOH,La,0.8643306063530712,0.822463768115942,,,,0.5,-0.23913043478260865,-0.23913043478260865,1.0,1.0,-1.9565217391304346
CONTCAR-27_La_33,COOH,La,0.8484812852394323,0.326306543697848,0.0,0.0,0.0,0.6666666666666666,-0.8115942028985507,0.1739130434782609,0.6565656565656566,-0.1497584541062801,-0.4782608695652173
CONTCAR-28_La_34,COOH,La,0.8690822791952484,0.5122480847118528,-0.7171717171717171,1.0,-0.3140096618357487,0.0,0.0,0.0,-1.3181818181818181,1.0,0.26086956521739135
CONTCAR-29_La_35,COOH,La,0.8884326511591573,0.3735177865612648,-0.3636363636363636,0.6666666666666666,-0.31884057971014484,0.0,0.0,0.0,-0.28787878787878785,1.0,-0.7246376811594202
CONTCAR-2_Bi_1,COOH,Bi,1.0507000641947921,0.9534475186649098,0.15151515151515152,0.6666666666666666,-0.8115942028985507,,,,-2.090909090909091,1.0,1.0
CONTCAR-30_La_36,COOH,La,0.8860029282304487,0.3856682769726248,0.0,0.0,0.0,0.5,0.2536231884057971,-0.7318840579710144,1.0,0.01449275362318847,-0.9710144927536231
CONTCAR-31_La_37,COOH,La,0.860051104961976,0.5265700483091786,-0.202020202020202,0.6714975845410628,-0.4782608695652173,-0.6969696969696969,0.3333333333333333,0.3333333333333333,-0.5454545454545454,1.0,-0.4782608695652173
CONTCAR-32_La_38,COOH,La,0.88632557748797,0.33728590250329377,,,,0.0,0.0,0.0,-0.5454545454545454,-0.4782608695652173,1.0
CONTCAR-33_La_39,COOH,La,0.9190648239130947,0.776899429073342,-0.5454545454545454,1.0,-0.4782608695652173,-0.2727272727272727,-0.23913043478260865,0.5,1.0,1.0,-1.9565217391304346
CONTCAR-34_La_41,COOH,La,0.9145005346888576,0.9698067632850241,1.0,1.0,-1.9565217391304346,1.0,1.0,-1.9565217391304346,-0.41666666666666663,0.26086956521739135,0.1376811594202899
CONTCAR-35_La_42,COOH,La,0.9003116061923623,0.006587615283267468,0.0,0.0,0.0,0.0,0.0,0.0,-0.030303030303030276,0.01449275362318847,0.01449275362318847
CONTCAR-36_La_43,COOH,La,0.8909238010209197,0.51146733030791,0.5,0.5,-0.9782608695652173,0.3333333333333333,0.3333333333333333,-0.6521739130434782,0.48484848484848486,0.17874396135265705,-0.6425120772946858
CONTCAR-37_La_44,COOH,La,0.9084406494492498,0.3347972478407261,,,,0.0,0.0,0.0,-0.202020202020202,1.0,-0.8067632850241545
CONTCAR-38_Sn_47,COOH,Sn,1.0587100164005019,1.1139657444005269,1.0,1.0,-1.9565217391304346,0.5,-0.9782608695652173,0.5,-2.090909090909091,1.0,1.0
CONTCAR-39_Sn_48,COOH,Sn,1.056226988132111,0.9967061923583662,1.0,1.0,-1.9565217391304346,,,,-0.5454545454545454,1.0,-0.4782608695652173
CONTCAR-3_Bi_2,COOH,La,0.8817130312085244,0.6644707949055775,1.0,1.0,-1.9565217391304346,0.0,0.0,0.0,-0.5454545454545454,-0.4782608695652173,1.0
CONTCAR-40_Sn_49,COOH,Sn,1.0521249371001091,1.118083003952569,1.0,1.0,-1.9565217391304346,-2.090909090909091,1.0,1.0,-0.3522727272727272,1.0,-0.6630434782608695
CONTCAR-41_Sn_50,COOH,Sn,1.0554187328671847,0.9960840286927243,1.0,1.0,-1.9565217391304346,,,,-0.4595959595959595,1.0,-0.5603864734299516
