Nearest_Atom,material_id_a,adsorbate_type_a,material_id_b,adsorbate_type_b,similarity,delta_G_OCHO,delta_G_H
Bi,CONTCAR-12_Bi_16-1_Bi_17,OCHO,CONTCAR-26_Bi_16,H,0.9152398880279184,0.317240000000017,0.7590100000000372
Bi,CONTCAR-2_Bi_1-1_Bi_3,OCHO,CONTCAR-28_Bi_21,H,0.9520968669530968,0.1816500000000377,0.8196300000000657
Bi,CONTCAR-2_Bi_1-1_Bi_3,OCHO,CONTCAR-3_Bi_1,H,0.9881303768206813,0.1816500000000377,0.8277000000000408
Bi,CONTCAR-2_Bi_1-3_Bi_19,OCHO,CONTCAR-28_Bi_21,H,0.9446142371800929,0.141880000000005,0.8196300000000657
Bi,CONTCAR-2_Bi_1-3_Bi_19,OCHO,CONTCAR-3_Bi_1,H,0.9493140197596058,0.141880000000005,0.8277000000000408
Bi,CONTCAR-4_Bi_3-4_Sn_57,OCHO,CONTCAR-26_Bi_16,H,0.9328630712935138,0.1800700000000478,0.7590100000000372
Bi,CONTCAR-4_Bi_3-4_Sn_57,OCHO,CONTCAR-28_Bi_21,H,0.9513286483667304,0.1800700000000478,0.8196300000000657
Bi,CONTCAR-4_Bi_3-4_Sn_57,OCHO,CONTCAR-3_Bi_1,H,0.9373867381002317,0.1800700000000478,0.8277000000000408
La,CONTCAR-10_Bi_13-2_La_34,OCHO,CONTCAR-14_La_34,H,0.9275426129491453,-0.8512199999999649,0.4930200000000492
La,CONTCAR-11_Bi_14-1_Bi_18,OCHO,CONTCAR-29_La_23,H,0.9430581413053457,-1.010219999999957,-0.10052999999994414
La,CONTCAR-11_Bi_14-5_Sn_66,OCHO,CONTCAR-29_La_23,H,0.9389192226665241,-1.052479999999956,-0.10052999999994414
La,CONTCAR-12_Bi_16-3_La_41,OCHO,CONTCAR-10_Sn_54,H,0.9008687931240102,-1.845189999999955,-0.3215599999999289
La,CONTCAR-12_Bi_16-3_La_41,OCHO,CONTCAR-42_La_41,H,0.9084003989084299,-1.845189999999955,-0.3198399999999514
La,CONTCAR-13_Bi_17-2_La_34,OCHO,CONTCAR-14_La_34,H,0.966852063026436,-0.9385299999999671,0.4930200000000492
La,CONTCAR-13_Bi_17-2_La_34,OCHO,CONTCAR-27_Bi_17,H,0.9391410971187383,-0.9385299999999671,0.46029000000003417
La,CONTCAR-16_Bi_20-4_La_33,OCHO,CONTCAR-11_La_42,H,0.9157946144593709,-1.030309999999996,-0.3599199999999404
La,CONTCAR-16_Bi_20-5_La_36,OCHO,CONTCAR-36_La_32,H,0.9660924822911714,-2.391719999999974,-0.9119799999999804
La,CONTCAR-16_Bi_20-5_La_36,OCHO,CONTCAR-37_La_33,H,0.9660924822911714,-2.391719999999974,-0.9218199999999773
La,CONTCAR-17_Bi_21-1_La_34,OCHO,CONTCAR-14_La_34,H,0.9415095867261546,-0.8516099999999466,0.4930200000000492
La,CONTCAR-17_Bi_21-1_La_34,OCHO,CONTCAR-27_Bi_17,H,0.9381502142871728,-0.8516099999999466,0.46029000000003417
La,CONTCAR-17_Bi_21-2_La_37,OCHO,CONTCAR-20_La_39,H,0.9288592559633159,-2.489349999999955,-1.1483799999999267
La,CONTCAR-17_Bi_21-2_La_37,OCHO,CONTCAR-40_La_37,H,0.9288592559633159,-2.489349999999955,-1.1428899999999746
La,CONTCAR-18_La_22-1_La_32,OCHO,CONTCAR-5_La_22,H,0.9490506118184562,-2.079589999999949,-0.2754899999999428
La,CONTCAR-18_La_22-2_La_43,OCHO,CONTCAR-43_La_43,H,0.9720533969747105,-2.393869999999946,-0.6778399999999555
La,CONTCAR-18_La_22-3_Sn_52,OCHO,CONTCAR-5_La_22,H,0.9209118237226218,-2.051689999999961,-0.2754899999999428
La,CONTCAR-18_La_22-4_Sn_58,OCHO,CONTCAR-5_La_22,H,1.0000000000000002,-2.090309999999941,-0.2754899999999428
