Nearest_Atom,material_id_a,adsorbate_type_a,material_id_b,adsorbate_type_b,similarity,delta_G_OCHO,delta_G_COOH
La,CONTCAR-10_La_11-3_Sn_41,OCHO,CONTCAR-8_Sn_50,COOH,0.26864851374124793,-0.7787500000000119,0.1571299999999627
La,CONTCAR-10_La_11-4_Sn_48,OCHO,CONTCAR-15_Bi_57,COOH,0.1103633212733636,-1.014639999999996,0.5663299999999611
La,CONTCAR-10_La_11-4_Sn_48,OCHO,CONTCAR-17_Bi_59,COOH,0.6954881754631521,-1.014639999999996,0.2918099999999657
La,CONTCAR-10_La_11-4_Sn_48,OCHO,CONTCAR-1_La_0,COOH,0.28082440761881666,-1.014639999999996,0.1866199999999725
La,CONTCAR-10_La_11-4_Sn_48,OCHO,CONTCAR-25_Bi_67,COOH,-0.05732296501140296,-1.014639999999996,0.9011699999999467
La,CONTCAR-10_La_11-4_Sn_48,OCHO,CONTCAR-8_Sn_50,COOH,0.4370533131628406,-1.014639999999996,0.1571299999999627
La,CONTCAR-10_La_11-5_Bi_64,OCHO,CONTCAR-15_Bi_57,COOH,0.2721326941992722,-0.7514300000000372,0.5663299999999611
La,CONTCAR-10_La_11-5_Bi_64,OCHO,CONTCAR-17_Bi_59,COOH,0.8748584304116168,-0.7514300000000372,0.2918099999999657
La,CONTCAR-10_La_11-5_Bi_64,OCHO,CONTCAR-1_La_0,COOH,0.4243037435810784,-0.7514300000000372,0.1866199999999725
La,CONTCAR-10_La_11-5_Bi_64,OCHO,CONTCAR-25_Bi_67,COOH,0.08374340320084424,-0.7514300000000372,0.9011699999999467
La,CONTCAR-10_La_11-5_Bi_64,OCHO,CONTCAR-8_Sn_50,COOH,0.33509198441590016,-0.7514300000000372,0.1571299999999627
La,CONTCAR-10_La_11-6_Bi_59,OCHO,CONTCAR-15_Bi_57,COOH,0.2954861351992187,-1.049940000000002,0.5663299999999611
La,CONTCAR-10_La_11-6_Bi_59,OCHO,CONTCAR-17_Bi_59,COOH,0.9116874714218933,-1.049940000000002,0.2918099999999657
La,CONTCAR-10_La_11-6_Bi_59,OCHO,CONTCAR-1_La_0,COOH,0.40999824320332934,-1.049940000000002,0.1866199999999725
La,CONTCAR-10_La_11-6_Bi_59,OCHO,CONTCAR-25_Bi_67,COOH,0.0788834441872489,-1.049940000000002,0.9011699999999467
La,CONTCAR-10_La_11-6_Bi_59,OCHO,CONTCAR-8_Sn_50,COOH,0.4294130067762277,-1.049940000000002,0.1571299999999627
La,CONTCAR-10_La_11-7_Sn_44,OCHO,CONTCAR-15_Bi_57,COOH,-0.03630900843321727,-0.6781600000000009,0.5663299999999611
La,CONTCAR-10_La_11-7_Sn_44,OCHO,CONTCAR-17_Bi_59,COOH,0.6767525279314238,-0.6781600000000009,0.2918099999999657
