structure_id,n_surface,n_bulk,r_thr,r_max,center_x,center_y,center_z,alpha_Bi__bulk,alpha_Bi__surface,alpha_Co__bulk,alpha_Co__surface,alpha_La__bulk,alpha_La__surface,alpha_Ni__bulk,alpha_Ni__surface,alpha_Sn__bulk,alpha_Sn__surface
0.optdone,59,9,3.403081066166063,6.806162132332126,22.611705130772812,22.1809083490794,22.81534147544346,0.46031746031746035,-0.07021791767554486,0.41880341880341876,-0.06388526727509802,-1.1587301587301586,0.17675544794188858,-0.7435897435897436,0.11342894393741854,1.0,-0.15254237288135597
10.optdone,59,9,3.4086867185638847,6.817373437127769,22.039948951178406,22.002072312984517,22.300884655691377,0.46031746031746035,-0.07021791767554486,-0.16239316239316248,0.024771838331160256,-0.6190476190476191,0.09443099273607747,-0.16239316239316248,0.024771838331160256,0.46031746031746035,-0.07021791767554486
1000.optdone,59,9,3.4325090055976517,6.865018011195303,22.41825849085145,22.505312486013736,22.29119721613912,1.0,-0.15254237288135597,-0.7435897435897436,0.11342894393741854,-0.6190476190476191,0.09443099273607747,0.41880341880341876,-0.06388526727509802,-0.0793650793650793,0.012106537530266248
1001.optdone,57,11,3.6632573219716065,7.326514643943213,22.53759822596305,22.19626044905519,22.3490960468035,0.11688311688311681,-0.022556390977443552,0.04895104895104885,-0.009446693657219951,-0.3246753246753247,0.06265664160401008,-0.4265734265734267,0.08232118758434548,0.5584415584415584,-0.10776942355889729
1003.optdone,59,9,3.561270723559181,7.122541447118362,22.637372379686553,22.425562961625644,22.423208462693626,-0.0793650793650793,0.012106537530266248,0.41880341880341876,-0.06388526727509802,-0.0793650793650793,0.012106537530266248,-0.7435897435897436,0.11342894393741854,0.46031746031746035,-0.07021791767554486
1004.optdone,57,11,3.422118456170705,6.84423691234141,21.987868844113915,22.490142686200972,22.504749671504296,1.0,-0.1929824561403508,-0.9020979020979023,0.1740890688259109,-0.3246753246753247,0.06265664160401008,0.5244755244755244,-0.10121457489878538,-0.3246753246753247,0.06265664160401008
1005.optdone,55,13,3.607183574213521,7.214367148427042,22.146803346632637,22.40052556693286,22.182263673791486,0.6263736263736264,-0.148051948051948,-0.609467455621302,0.14405594405594402,0.6263736263736264,-0.148051948051948,-0.609467455621302,0.14405594405594402,-0.1208791208791209,0.02857142857142847
1007.optdone,54,14,3.5471093551593293,7.094218710318659,22.39050830539593,22.617878062093958,22.455590633139227,-0.3877551020408163,0.10052910052910058,-0.8681318681318684,0.225071225071225,1.0,-0.2592592592592593,-0.1208791208791209,0.031339031339031376,0.30612244897959184,-0.0793650793650793
1008.optdone,58,10,3.615682055478549,7.231364110957098,22.5212822517937,22.252432315651443,22.29441739841172,0.5142857142857142,-0.08866995073891637,-0.04615384615384621,0.007957559681697646,-0.4571428571428571,0.0788177339901478,-0.04615384615384621,0.007957559681697646,0.02857142857142847,-0.0049261083743843415
1009.optdone,54,14,3.8836548593861435,7.767309718772287,22.367009899247083,21.912730246472425,22.449738551097546,0.30612244897959184,-0.0793650793650793,-0.4945054945054945,0.1282051282051282,0.30612244897959184,-0.0793650793650793,-0.1208791208791209,0.031339031339031376,-0.04081632653061229,0.010582010582010581
