structure_id,n_all,n_surface,n_bulk,r_thr,r_max,center_x,center_y,center_z,disorder_all,disorder_surface,disorder_bulk,alpha_Bi_Bi__all,alpha_Bi_Bi__bulk,alpha_Bi_Bi__surface,alpha_Bi_Co__all,alpha_Bi_Co__bulk,alpha_Bi_Co__surface,alpha_Bi_La__all,alpha_Bi_La__bulk,alpha_Bi_La__surface,alpha_Bi_Ni__all,alpha_Bi_Ni__bulk,alpha_Bi_Ni__surface,alpha_Bi_Sn__all,alpha_Bi_Sn__bulk,alpha_Bi_Sn__surface,alpha_Co_Bi__all,alpha_Co_Bi__bulk,alpha_Co_Bi__surface,alpha_Co_Co__all,alpha_Co_Co__bulk,alpha_Co_Co__surface,alpha_Co_La__all,alpha_Co_La__bulk,alpha_Co_La__surface,alpha_Co_Ni__all,alpha_Co_Ni__bulk,alpha_Co_Ni__surface,alpha_Co_Sn__all,alpha_Co_Sn__bulk,alpha_Co_Sn__surface,alpha_La_Bi__all,alpha_La_Bi__bulk,alpha_La_Bi__surface,alpha_La_Co__all,alpha_La_Co__bulk,alpha_La_Co__surface,alpha_La_La__all,alpha_La_La__bulk,alpha_La_La__surface,alpha_La_Ni__all,alpha_La_Ni__bulk,alpha_La_Ni__surface,alpha_La_Sn__all,alpha_La_Sn__bulk,alpha_La_Sn__surface,alpha_Ni_Bi__all,alpha_Ni_Bi__bulk,alpha_Ni_Bi__surface,alpha_Ni_Co__all,alpha_Ni_Co__bulk,alpha_Ni_Co__surface,alpha_Ni_La__all,alpha_Ni_La__bulk,alpha_Ni_La__surface,alpha_Ni_Ni__all,alpha_Ni_Ni__bulk,alpha_Ni_Ni__surface,alpha_Ni_Sn__all,alpha_Ni_Sn__bulk,alpha_Ni_Sn__surface,alpha_Sn_Bi__all,alpha_Sn_Bi__bulk,alpha_Sn_Bi__surface,alpha_Sn_Co__all,alpha_Sn_Co__bulk,alpha_Sn_Co__surface,alpha_Sn_La__all,alpha_Sn_La__bulk,alpha_Sn_La__surface,alpha_Sn_Ni__all,alpha_Sn_Ni__bulk,alpha_Sn_Ni__surface,alpha_Sn_Sn__all,alpha_Sn_Sn__bulk,alpha_Sn_Sn__surface
0.optdone,68,59,9,3.403081066166063,6.806162132332126,22.611705130772812,22.1809083490794,22.81534147544346,0.19569368017429845,0.21053930237446722,0.3327915685504972,0.31569080012957557,0.35238095238095235,0.31286848072562357,0.013893249607535288,-0.394871794871795,0.045336714567483775,-0.3947076449627471,-0.2952380952380953,-0.4023591487877203,-0.17788679574393867,-0.04615384615384621,-0.1880200995585612,0.2312965662455459,0.35238095238095235,0.22198238269666842,0.08178073452798726,0.30612244897959184,0.0630855916570202,0.08046956330979996,-0.1208791208791209,0.09724862032554336,0.005321906420807483,-0.3877551020408163,0.03807832379260947,-0.18982056733536026,-0.4945054945054945,-0.16443015673784908,0.01443757707493968,0.653061224489796,-0.03878106020963167,-0.23149497894395857,0.10663265306122446,-0.3667460317460318,0.04376853305424731,0.13209706959706954,0.008437118437118418,0.5890427599611272,0.18903061224489792,0.749047619047619,-0.21280306994592715,-0.65485347985348,-0.035982905982906,-0.20058713961775188,0.1897534013605442,-0.35672335600907046,0.027134404057480927,0.19047619047619047,-0.021868131868131923,-0.14137821415927931,-0.1208791208791209,-0.14752794214332682,-0.27502851239114984,-0.15646258503401364,-0.31059829059829075,-0.03841602184797455,-0.7435897435897436,0.17313609467455615,0.41484589891183293,0.7687074829931974,0.30868742368742363,0.23109005506964683,,0.23109005506964683,-0.14919762776905637,,-0.14919762776905637,-0.4532879818594105,,-0.4532879818594105,0.25511948369091225,,0.25511948369091225,0.12384191771946872,,0.12384191771946872
10.optdone,68,59,9,3.4086867185638847,6.817373437127769,22.039948951178406,22.002072312984517,22.300884655691377,0.23836063982978611,0.2342776885673989,0.390060029510579,0.20575801749271133,1.0,0.14466248037676604,0.2816588173731031,-0.4945054945054945,0.34136376444068756,-0.607345319080013,-0.3877551020408163,-0.6242368742368742,0.26475667189952906,-0.1208791208791209,0.29442096365173287,-0.10579850988014258,-0.04081632653061229,-0.11079713936856798,0.39496083891688283,0.3849721706864564,0.39677696041332405,-0.17011758786906722,-0.40959040959040977,-0.12657707482882313,-0.153881954431405,0.25881261595547306,-0.2289173308653828,-0.22891500347121657,-0.6473526473526475,-0.15283543185641094,0.12945137890192832,0.33766233766233766,0.0915948409454903,-0.18223194039520577,-0.003023431594860182,-0.23110698824984544,-0.17465550322693188,-0.16564916564916576,-0.17711177711177714,0.7704648526077097,0.6349206349206349,0.8074314574314574,-0.16152974010116875,-0.2462352462352463,-0.13842823842823848,-0.27606090055069654,-0.24943310657596376,-0.283323026180169,0.37117943106954104,0.4084249084249084,0.3644075260958379,-0.323957370702933,-0.6597633136094675,-0.26290174471992667,-0.2095847985957876,-0.15201465201465214,-0.2200520979741759,0.0807598712924156,0.1617357001972386,0.06603699330972052,0.06423161697886969,0.20604395604395598,0.03844755533067217,0.13666679125862796,0.6263736263736264,0.0989970347113204,0.06855150344161332,0.5976331360946745,0.027852916314454763,-0.3884752435772844,-0.8681318681318684,-0.35157858015000876,-0.01030236552214576,0.195266272189349,-0.026115337653799236,0.19771996710772216,-0.49450549450549475,0.25096807953950806
1000.optdone,68,59,9,3.4325090055976517,6.865018011195303,22.41825849085145,22.505312486013736,22.29119721613912,0.28232663851598766,0.2755975573179655,0.4207968649177441,-0.2580660835762877,,-0.2580660835762877,0.569440083725798,,0.569440083725798,-0.4067541302235181,,-0.4067541302235181,-0.07551020408163268,,-0.07551020408163268,0.2061710398445092,,0.2061710398445092,0.7345931845931847,0.8528138528138528,0.6991269841269842,-0.5235541578736845,-0.5932102085948241,-0.5026573426573426,-0.2889021235175082,-0.3548673548673549,-0.2691125541125542,0.012794306285430511,0.13531767377921214,-0.02396270396270399,0.028585943970559306,-0.07276057276057284,0.058989898989898946,0.22033454074270403,0.31322751322751324,0.19500009370139237,-0.23708513708513718,-0.5646723646723649,-0.14774316592498415,0.3321980740348088,0.41904761904761906,0.3085118344858605,0.08575075717932854,0.07236467236467226,0.08940150758332571,-0.41200783343640485,-0.2751322751322752,-0.449337531155713,0.23515769944341372,0.11688311688311681,0.24501391465677178,-0.17433933587779749,-0.4265734265734267,-0.15331982831982838,-0.23277833277833287,-0.7662337662337664,-0.18832371332371337,0.34163955702417237,1.0,0.28677618677618677,-0.15772957201528634,0.11688311688311681,-0.18061396275681996,0.3863864593456431,0.826530612244898,0.31302910052910043,-0.017390545961974566,-0.6813186813186813,0.09326414326414323,-0.6339164237123421,-0.21428571428571436,-0.7038548752834469,-0.1158381301238444,-0.3076923076923077,-0.0838624338624339,0.37124230644638806,0.30612244897959184,0.3820956160241875
1001.optdone,68,57,11,3.6632573219716065,7.326514643943213,22.53759822596305,22.19626044905519,22.3490960468035,0.21756402246735537,0.22833750140783107,0.3336894586894587,0.41213151927437647,0.30612244897959184,0.4297996976568405,0.06519274376417232,0.25274725274725274,0.033933658933658906,-0.52680596047943,-0.3877551020408164,-0.5499811035525322,0.04295307866736436,-0.4945054945054945,0.1325295075295075,0.014253320375769358,0.30612244897959184,-0.0343915343915344,0.2715229215229215,0.15367965367965364,0.2929489702216975,-0.19155459924690704,0.08857808857808852,-0.242487815215088,-0.3622266622266622,-0.0487012987012988,-0.4192312737767283,-0.06860916860916864,-0.3473193473193474,-0.017934590661863415,0.3322843822843823,0.13528138528138528,0.36810310901219984,-0.18624827553398984,0.25071225071225073,-0.3054193281466009,-0.2214482708988204,-0.2653955730878809,-0.20946264302907663,0.5757924048740374,0.3199023199023199,0.6455806098663239,0.05565344301608032,-0.20008766162612326,0.12540101700940856,-0.2355917891632177,-0.1383801383801385,-0.26210405755860305,0.12442282991733536,0.6037296037296037,-0.01936920222634513,-0.11358122482382844,-0.5509413663259819,0.017626817626817604,-0.1547860564344081,-0.3235431235431236,-0.10415893630179349,-0.08990660884152016,-0.043715259099874615,-0.10376401376401381,0.21931621492061046,0.271994671994672,0.20351267779839205,0.07805275789969665,0.6964285714285714,0.030485387628244744,0.22707054849911992,-0.3076923076923077,0.2682061528215374,-0.5753861501310481,-0.517857142857143,-0.5798114583828871,0.10958446315589167,-0.6346153846153848,0.16683060529214372,0.18472516712312628,0.6964285714285714,0.14536336679193823
1003.optdone,68,59,9,3.561270723559181,7.122541447118362,22.637372379686553,22.425562961625644,22.423208462693626,0.20733335784959983,0.19809126518577067,0.445159157082234,0.34218055187442936,0.6964285714285714,0.2831392152820724,-0.14913697413697416,-0.6112637362637363,-0.07211584711584713,-0.37596519127131384,-0.30102040816326536,-0.38845598845598855,0.07871850371850367,-0.7046703296703298,0.20928330928330927,0.09917321907117824,0.826530612244898,-0.022053013124441707,-0.1278475492761208,0.19047619047619047,-0.1543745275888134,0.1282051282051282,0.5641025641025641,0.09188034188034189,-0.16417233560090708,-0.2142857142857144,-0.15999622071050645,-0.1291819291819292,-0.7435897435897436,-0.077981277981278,0.29292691435548573,0.19047619047619047,0.3014644746787603,-0.03532555879494655,-0.11111111111111105,-0.02269463340891914,0.016042687471258858,0.2564102564102564,-0.024018574018574063,0.41332125923962654,0.30158730158730157,0.43194358551501416,-0.09773797630940492,-0.7863247863247865,0.01702649202649199,-0.30213578938068736,0.30158730158730157,-0.40275630454201883,0.15927534004457078,0.4791874791874792,0.06330169830169827,0.08726500324133454,0.12210866057019894,0.07681190604267521,-0.20471280855896248,-0.31335331335331346,-0.17212065712065716,-0.3025884700440914,-0.5241169087322936,-0.23612993843763083,0.24538068768837995,0.20745920745920743,0.25675713175713166,0.1059442824748947,0.653061224489796,0.06385836385836383,0.24770626199197626,-0.1208791208791209,0.2760589837512914,-0.7048185941043085,-0.3877551020408163,-0.7292080934938079,0.06593406593406588,-0.8681318681318684,0.13778529163144543,0.3076368642695173,0.653061224489796,0.2810657596371882
1004.optdone,68,57,11,3.422118456170705,6.84423691234141,21.987868844113915,22.490142686200972,22.504749671504296,0.24162909532738056,0.2560793314887316,0.3589317733548502,0.24527048914804017,,0.24527048914804017,-0.11850688993546139,,-0.11850688993546139,-0.5788467768059604,,-0.5788467768059604,0.18647305075876505,,0.18647305075876505,0.2704648526077097,,0.2704648526077097,0.05241089801529357,0.5432276057276058,-0.16572986096795628,0.0701535808044683,-0.012013627398242854,0.10667234000567327,-0.31751456723984206,-0.3372356809856811,-0.30874962779724696,-0.16935385456095514,-0.5580285099515869,0.0033904367237700284,0.357218209141286,0.323332917082917,0.37227833894500556,-0.20966037930323653,0.2202380952380952,-0.3269054178145088,-0.09156399156399157,-0.6666666666666666,0.06528219255491978,0.6453385899814471,0.12499999999999993,0.7872491145218418,-0.1083499833499834,0.16025641025641016,-0.18160627251536354,-0.2500438054009483,0.125,-0.35232847960120695,0.2582154109626637,0.6263736263736264,0.22753555967841685,-0.24891275719678096,-1.0118343195266273,-0.18533596033596042,-0.284319404649075,-0.1208791208791209,-0.29793942829657116,0.1608993898934727,0.195266272189349,0.15803548303548298,0.10783069189662592,0.2527472527472526,0.09575431182574036,0.2074736488001794,0.6263736263736264,0.09322820037105747,0.2878174938614499,-0.34122287968441833,0.45937395937395936,-0.5811872367994818,-0.6190476190476193,-0.5708616780045351,-0.06556508204859858,0.061143984220907166,-0.10012210012210015,0.16733634845879747,0.2527472527472527,0.14404246547103686
1005.optdone,68,55,13,3.607183574213521,7.214367148427042,22.146803346632637,22.40052556693286,22.182263673791486,0.25023720715008,0.2598317001033259,0.35303469058414116,0.227648202137998,0.35238095238095235,0.2180533751962323,0.2434065934065934,-0.04615384615384621,0.26568047337278106,-0.7677356656948494,-0.2952380952380953,-0.8040816326530612,-0.03770277341705917,-0.394871794871795,-0.010228233305156405,0.3490767735665695,0.35238095238095235,0.3488226059654631,0.4153487538102922,0.5735847485847486,0.345021645021645,0.036976961237316204,-0.22508517123901747,0.15344902011568673,-0.1545838776608008,0.03677988677988672,-0.23963443963443976,-0.2927403300184366,-0.14979379594764217,-0.35627212293878974,-0.023270319424165645,-0.26226273726273736,0.0829485329485329,-0.26972987330130194,1.0,-0.3674014020167867,-0.11644103759488376,-0.6346153846153848,-0.07658147243946063,0.6940630797773654,0.6964285714285714,0.6938811188811188,-0.20293830101522412,-0.6346153846153848,-0.1697323715075195,-0.12776667776667786,-0.517857142857143,-0.09775971891356514,0.18938442509871076,0.264069264069264,0.15619116333402042,-0.3164596087673011,-0.3671328671328672,-0.2939381606048273,-0.2422942137227852,-0.3798701298701299,-0.1811493621017431,0.15527634758403985,0.08857808857808852,0.18492001825335155,0.20257995972281684,0.37445887445887444,0.1261893309512357,0.45123096857790734,0.46609977324263036,0.44717584003298294,-0.18478109192394915,-0.3990231990231991,-0.12635142635142638,-0.3438370586329769,-0.07551020408163274,-0.4170171098742527,0.1425126460840746,-0.13437118437118448,0.21802641802641798,-0.06814463880790413,0.10470521541950102,-0.11528550814265102
1007.optdone,68,54,14,3.5471093551593293,7.094218710318659,22.39050830539593,22.617878062093958,22.455590633139227,0.2257825598839969,0.22610296211724784,0.3356097138514721,0.236734693877551,-0.12755102040816335,0.38244897959183677,0.055555555555555525,-0.10531135531135533,0.11990231990231988,-0.5787091026886946,-0.04081632653061226,-0.7938662131519274,0.1572649572649572,-0.07417582417582425,0.24984126984126984,0.14435536119209585,0.33503401360544216,0.06808390022675734,0.18991216353853715,0.2551733980305409,0.14912389198103482,-0.24156684866744052,-0.6763544148159535,0.030175380175380087,-0.031016358488885995,0.16395033537890677,-0.15287054215625648,-0.20997240760554378,-0.2165065703527243,-0.20588855588855598,0.260390647203834,0.40996146710432424,0.1669088847660276,-0.40084665900992433,,-0.40084665900992433,-0.11767121767121771,,-0.11767121767121771,0.789208410636982,,0.789208410636982,-0.07851592851592855,,-0.07851592851592855,-0.20618797302470776,,-0.20618797302470776,0.12598116169544743,0.6337868480725624,-0.026360544217687066,-0.28310322156476003,-1.2002442002442002,-0.007960927960927988,-0.13422291993720567,0.01700680272108838,-0.1795918367346939,0.11766694843617918,0.21123321123321123,0.08959706959706956,0.16186115471829757,0.2675736961451247,0.1301473922902494,0.04556888689541748,0.11575091575091573,0.03387188208616778,0.10175703417461655,-0.8508875739644972,0.2605311355311355,-0.5578567690812589,-0.04615384615384621,-0.643140589569161,0.011737712836613892,-0.12662721893491136,0.034798534798534786,0.4068999028182702,0.8380952380952381,0.3350340136054422
1008.optdone,68,58,10,3.615682055478549,7.231364110957098,22.5212822517937,22.252432315651443,22.29441739841172,0.18118082750482217,0.1862837623340198,0.4145104858511452,0.2556384092098377,0.6761904761904762,0.2232882502113271,0.04964778810932656,-0.04615384615384621,0.05701714459110908,-0.6909452792105855,0.02857142857142847,-0.7462927182707404,0.29168377410135643,-0.394871794871795,0.34449574094544505,0.11835613366225606,-0.2952380952380953,0.15017107434689847,0.22973101379694782,0.8131868131868132,0.1236481411806087,0.009524991773512447,-0.039447731755424154,0.01842912332422817,-0.1765570815021365,-0.5723443223443225,-0.10459576498537539,-0.20998134015885503,-0.6765285996055228,-0.12515456571400635,0.132964105491578,0.42399267399267393,0.08004982030956054,-0.2521711281915365,0.46417233560090704,-0.4475375274076574,0.008838780267351663,-0.46959706959706965,0.1393212847758302,0.35444606413994173,0.1750566893424036,0.4033704390847248,-0.12358831644545933,-0.3326007326007326,-0.0665849302212939,0.004278204788408838,0.10566893424036279,-0.02337381233485133,0.36169050729490276,0.3716283716283716,0.35988362287063586,-0.17431923763284715,0.3598708983324367,-0.2714447168992624,-0.16212670113769018,-1.0719280719280722,0.0032917299151065216,0.013747856351406577,-0.2802582033351266,0.06720350356713989,-0.05046180925301803,0.6263736263736264,-0.17352279754877153,0.17592509531285036,0.14065934065934055,0.18180272108843534,-0.0028150116062204333,0.24891518737672574,-0.044770044770044794,-0.2527709252199049,-0.04615384615384621,-0.287207105064248,-0.18036737377396722,-1.0520710059171599,-0.03508343508343511,0.24694375918865716,0.6512820512820513,0.17955404383975812
1009.optdone,68,54,14,3.8836548593861435,7.767309718772287,22.367009899247083,21.912730246472425,22.449738551097546,0.25857040201141157,0.26743354423354426,0.3234981819157644,0.06796740674291689,0.29277864992150704,0.03049886621315186,0.2628748540836453,0.03719357565511405,0.3004884004884005,-0.7303412573820738,-0.44113029827315553,-0.7785430839002269,0.04821076359537895,-0.1639898562975487,0.08357753357753354,0.37350863422291997,0.26609105180533754,0.3914115646258504,0.33992673992673994,0.494047619047619,0.27142857142857146,-0.4028050187813502,-0.3747534516765286,-0.41527238193904864,0.0640252909483679,-0.19871794871794876,0.18080006413339747,-0.23675443557100367,-0.17357001972386593,-0.2648363981697316,0.18992460530922067,0.2138278388278388,0.17930094596761262,-0.5467812233118358,0.15578231292517003,-0.6638751460180033,-0.03326831898260477,-0.25787545787545796,0.004166204166204075,0.8445534057778955,0.826530612244898,0.8475572047000618,-0.07170924313781457,-0.24542124542124544,-0.042757242757242776,-0.2002930176399565,-0.5149659863945579,-0.1478475228475229,0.1875109017966161,0.055555555555555504,0.22709750566893422,-0.2720860336244952,-0.7435897435897436,-0.1306349206349206,-0.20020059305773596,0.19047619047619044,-0.3174036281179139,0.3519019442096365,0.1282051282051282,0.41901098901098904,-0.06142508285365433,0.3253968253968254,-0.17747165532879822,0.323649423139219,0.6159951159951159,0.24391877963306535,0.12496612057051615,-0.00591715976331364,0.16066156066156062,-0.367707632503551,-0.9822954822954827,-0.2000927643784787,-0.12125548444229764,0.1617357001972386,-0.19843489843489845,0.040612618673843144,0.2216117216117216,-0.008750773036487343
