material_id,adsorbate_type,Nearest_Atom,Nearest_Normalized_Distance,disorder,alpha_Bi_Bi,alpha_Bi_Co,alpha_Bi_La,alpha_Bi_Ni,alpha_Bi_Sn,alpha_Co_Bi,alpha_Co_Co,alpha_Co_La,alpha_Co_Ni,alpha_Co_Sn,alpha_La_Bi,alpha_La_Co,alpha_La_La,alpha_La_Ni,alpha_La_Sn,alpha_Ni_Bi,alpha_Ni_Co,alpha_Ni_La,alpha_Ni_Ni,alpha_Ni_Sn,alpha_Sn_Bi,alpha_Sn_Co,alpha_Sn_La,alpha_Sn_Ni,alpha_Sn_Sn
CONTCAR-10_Ni_38,H,Ni,0.9890512230380841,0.8037594627594628,1.0,-0.5256410256410257,1.0,-1.9423076923076925,0.29166666666666663,0.02857142857142847,0.4769230769230769,-0.4571428571428571,-0.5692307692307692,0.5142857142857142,1.0,0.34615384615384615,1.0,-3.576923076923077,1.0,-0.011904761904761908,0.05555555555555549,-0.09285714285714286,-0.07521367521367528,0.123015873015873,-1.9142857142857141,1.0,1.0,-1.0923076923076924,1.0
CONTCAR-10_Sn_52,H,Sn,1.0215947063341282,0.785036075036075,1.0,-0.7435897435897436,1.0,-1.4700854700854702,0.055555555555555504,-0.09163059163059169,-0.49261849261849266,0.23340548340548337,0.3065268065268065,0.031024531024530955,1.0,-0.7435897435897436,1.0,-2.4871794871794872,1.0,-0.0793650793650793,-0.16239316239316248,0.46031746031746035,0.41880341880341876,-0.6190476190476191,1.0,-2.9230769230769234,1.0,-0.3076923076923077,1.0
CONTCAR-11_Ni_39,H,La,1.0099128713308554,0.7888304288304288,-0.2142857142857144,-0.7435897435897436,1.0,-1.1794871794871795,1.0,0.3131313131313131,-0.44418544418544426,-0.10389610389610393,0.3307433307433307,-0.10389610389610393,1.0,-1.7087912087912087,1.0,-1.521978021978022,1.0,-0.2142857142857144,-0.3076923076923077,-1.4285714285714288,1.0,1.0,-0.6190476190476191,-0.7435897435897436,1.0,-0.7435897435897436,1.0
CONTCAR-11_Sn_53,H,Sn,1.026063844783212,0.7391208791208792,1.0,-0.7435897435897436,1.0,-0.7435897435897436,-0.6190476190476191,0.7571428571428571,-0.5692307692307692,0.5142857142857142,-0.04615384615384621,-0.7000000000000001,,,,,,,,,,,0.5952380952380952,-1.6153846153846156,1.0,0.5641025641025641,-0.6190476190476192
CONTCAR-12_Bi_54,H,Bi,1.0292758619705025,0.957513518227804,1.0,-2.4871794871794872,1.0,1.0,-0.6190476190476191,-0.30102040816326536,-0.4010989010989011,0.3494897959183673,0.6730769230769231,-0.30102040816326536,1.0,-2.4871794871794872,1.0,-0.7435897435897436,1.0,,,,,,,,,,
CONTCAR-12_La_11,H,La,0.9021138166467944,0.9852121489621493,1.0,-0.7435897435897436,1.0,-0.7435897435897436,-0.6190476190476191,,,,,,1.0,1.0,1.0,-4.230769230769231,1.0,-0.45039682539682546,0.09188034188034183,0.15674603174603174,-0.2350427350427351,0.42658730158730157,-1.9142857142857141,1.0,1.0,-1.0923076923076924,1.0
CONTCAR-13_Bi_55,H,Ni,0.9854273256253195,0.7778730158730158,1.0,-0.22051282051282053,1.0,-1.353846153846154,-0.5380952380952382,0.02857142857142847,0.4769230769230769,-0.4571428571428571,-0.5692307692307692,0.5142857142857142,1.0,0.34615384615384615,1.0,-3.576923076923077,1.0,-0.011904761904761908,0.05555555555555549,-0.09285714285714286,-0.07521367521367528,0.123015873015873,-1.9142857142857141,1.0,1.0,-1.0923076923076924,1.0
CONTCAR-13_La_12,H,La,0.9015858063151915,0.8395502645502646,0.3928571428571428,-0.3076923076923077,1.0,-1.9423076923076925,0.6964285714285714,,,,,,1.0,-0.7435897435897436,1.0,-2.4871794871794872,1.0,-0.0793650793650793,-0.16239316239316248,-0.6190476190476191,-0.16239316239316248,1.0,,,,,
CONTCAR-14_Bi_56,H,Sn,1.0308802173375058,0.9995900924472354,1.0,0.4188034188034188,1.0,-0.7435897435897436,-1.6984126984126984,,,,,,1.0,1.0,1.0,-4.230769230769231,1.0,-0.2335600907029478,0.04517704517704513,0.3832199546485261,-0.03785103785103788,-0.1564625850340136,-1.4285714285714288,1.0,1.0,-1.6153846153846154,1.0
CONTCAR-14_La_13,H,La,0.9536099579075481,0.8712338653410082,1.0,-1.1794871794871795,1.0,-2.051282051282051,1.0,0.21071428571428563,0.4115384615384615,-0.33571428571428574,-0.43846153846153846,0.1499999999999999,1.0,-4.230769230769231,1.0,1.0,1.0,-0.2335600907029478,0.04517704517704513,-0.1564625850340136,-0.3284493284493285,0.653061224489796,,,,,
CONTCAR-15_Bi_57,H,La,0.9807587877651484,0.6486788766788767,1.0,-2.4871794871794872,1.0,0.1282051282051282,0.19047619047619047,0.02857142857142847,0.21538461538461534,0.02857142857142847,-0.5692307692307692,0.27142857142857135,1.0,-2.4871794871794872,1.0,-0.7435897435897436,1.0,1.0,-0.16239316239316248,-0.6190476190476191,-0.16239316239316248,-0.0793650793650793,-0.2142857142857144,-0.3076923076923077,1.0,-0.3076923076923077,-0.2142857142857144
