material_id,adsorbate_type,Nearest_Atom,Nearest_Normalized_Distance,disorder,alpha_Bi_Bi,alpha_Bi_Co,alpha_Bi_La,alpha_Bi_Ni,alpha_Bi_Sn,alpha_Co_Bi,alpha_Co_Co,alpha_Co_La,alpha_Co_Ni,alpha_Co_Sn,alpha_La_Bi,alpha_La_Co,alpha_La_La,alpha_La_Ni,alpha_La_Sn,alpha_Ni_Bi,alpha_Ni_Co,alpha_Ni_La,alpha_Ni_Ni,alpha_Ni_Sn,alpha_Sn_Bi,alpha_Sn_Co,alpha_Sn_La,alpha_Sn_Ni,alpha_Sn_Sn
CONTCAR-17_Sn_40-2_Sn_44,OCHO,Sn,1.1369736131683303,1.048962148962149,1.0,1.0,1.0,1.0,-3.8571428571428577,,,,,,1.0,-1.6153846153846154,1.0,-1.6153846153846154,1.0,1.0,0.41880341880341876,-0.6190476190476191,-0.16239316239316248,-0.6190476190476191,0.7301587301587302,0.2735042735042735,1.0,-1.1794871794871795,-0.888888888888889
CONTCAR-17_Sn_40-3_Sn_43,OCHO,La,0.9047913174010295,0.95995115995116,1.0,1.0,1.0,1.0,-3.8571428571428577,1.0,-0.7435897435897436,1.0,-0.16239316239316248,-1.1587301587301586,1.0,-1.6153846153846154,1.0,-1.6153846153846154,1.0,1.0,-0.5692307692307692,-0.4571428571428571,0.4769230769230769,-0.4571428571428571,0.4063492063492063,-0.5692307692307693,1.0,-0.452991452991453,-0.45714285714285724
CONTCAR-18_Sn_41-1_Bi_56,OCHO,Sn,1.0924911624297227,1.0141712454212453,1.0,0.4188034188034188,1.0,-0.888888888888889,-1.563492063492064,,,,,,1.0,1.0,1.0,-4.230769230769231,1.0,-0.45039682539682546,0.09188034188034183,0.42658730158730157,0.055555555555555525,-0.11309523809523814,-1.4285714285714288,1.0,1.0,-1.6153846153846154,1.0
CONTCAR-18_Sn_41-2_Bi_60,OCHO,Sn,1.0762161522434661,0.918841575091575,1.0,0.4188034188034188,1.0,-0.888888888888889,-1.563492063492064,,,,,,1.0,1.0,1.0,-4.230769230769231,1.0,-0.45039682539682546,0.09188034188034183,0.42658730158730157,0.055555555555555525,-0.11309523809523814,-0.2142857142857144,-0.9615384615384617,1.0,-0.9615384615384616,1.0
CONTCAR-18_Sn_41-3_Bi_58,OCHO,La,0.89026352909561,1.068476800976801,1.0,0.4188034188034188,1.0,-0.888888888888889,-1.563492063492064,,,,,,1.0,1.0,1.0,-4.230769230769231,1.0,-0.8214285714285716,0.34615384615384615,0.3928571428571428,-0.3076923076923077,0.3928571428571428,-1.9142857142857141,1.0,1.0,-1.0923076923076924,1.0
CONTCAR-19_Sn_43-1_Bi_54,OCHO,La,0.8522949596296906,0.805631868131868,1.0,-1.6153846153846154,1.0,0.1282051282051282,-0.6190476190476191,-0.2142857142857144,-0.3076923076923077,0.3928571428571428,0.34615384615384615,-0.2142857142857144,1.0,-1.6153846153846154,1.0,-1.6153846153846154,1.0,,,,,,1.0,-0.3076923076923077,1.0,-0.3076923076923077,-1.4285714285714288
CONTCAR-19_Sn_43-2_Sn_53,OCHO,Sn,1.0597786291027496,0.7391208791208792,1.0,-0.7435897435897436,1.0,-0.7435897435897436,-0.6190476190476191,0.7571428571428571,-0.5692307692307692,0.5142857142857142,-0.04615384615384621,-0.7000000000000001,,,,,,,,,,,0.5952380952380952,-1.6153846153846156,1.0,0.5641025641025641,-0.6190476190476192
CONTCAR-1_La_0-1_Bi_54,OCHO,La,0.910179821402909,0.628079539508111,1.0,-1.6153846153846154,1.0,0.1282051282051282,-0.6190476190476191,0.19047619047619047,-0.45299145299145305,-0.2142857142857143,0.7094017094017093,-0.2142857142857143,1.0,-2.4871794871794872,1.0,-0.7435897435897436,1.0,-0.0793650793650793,-0.16239316239316248,-0.0793650793650793,0.41880341880341876,-0.0793650793650793,0.11819727891156459,-1.1639194139194138,1.0,-0.13644688644688646,0.08928571428571419
CONTCAR-1_La_0-2_Bi_63,OCHO,La,0.9513898878686001,0.7481737310308739,1.0,-1.6153846153846154,1.0,0.1282051282051282,-0.6190476190476191,0.19047619047619047,-0.45299145299145305,-0.2142857142857143,0.7094017094017093,-0.2142857142857143,1.0,-2.4871794871794872,1.0,-0.7435897435897436,1.0,-0.0793650793650793,-0.16239316239316248,-0.0793650793650793,0.41880341880341876,-0.0793650793650793,0.653061224489796,-1.8021978021978022,1.0,-1.054945054945055,1.0
CONTCAR-1_La_0-3_La_4,OCHO,La,0.902328929864713,0.692014652014652,1.0,-1.6153846153846154,1.0,0.1282051282051282,-0.6190476190476191,0.19047619047619047,-0.45299145299145305,-0.2142857142857143,0.7094017094017093,-0.2142857142857143,1.0,-2.4871794871794872,1.0,-0.7435897435897436,1.0,-0.0793650793650793,-0.16239316239316248,-0.0793650793650793,0.41880341880341876,-0.0793650793650793,-0.6190476190476191,-0.7435897435897436,1.0,-0.7435897435897436,1.0
CONTCAR-1_La_0-4_Sn_45,OCHO,La,0.9225195691894826,0.6934379905808477,1.0,-1.6153846153846154,1.0,0.1282051282051282,-0.6190476190476191,0.19047619047619047,-0.45299145299145305,-0.2142857142857143,0.7094017094017093,-0.2142857142857143,1.0,-2.4871794871794872,1.0,-0.7435897435897436,1.0,-0.0793650793650793,-0.16239316239316248,-0.0793650793650793,0.41880341880341876,-0.0793650793650793,-0.1564625850340136,-1.3663003663003663,1.0,-0.6190476190476191,1.0
CONTCAR-1_La_0-5_Sn_43,OCHO,La,0.8860777063905559,0.9359706959706958,1.0,-1.6153846153846154,1.0,0.1282051282051282,-0.6190476190476191,,,,,,1.0,-1.1794871794871795,1.0,-2.051282051282051,1.0,,,,,,0.6761904761904761,-1.005128205128205,1.0,-0.3076923076923077,-0.4571428571428573
CONTCAR-1_La_0-6_La_6,OCHO,La,0.9184917377992569,0.7250706436420721,1.0,-1.6153846153846154,1.0,0.1282051282051282,-0.6190476190476191,-0.2142857142857144,-0.3076923076923077,0.3928571428571428,0.34615384615384615,-0.2142857142857144,1.0,-1.6153846153846154,1.0,-1.6153846153846154,1.0,1.0,-0.5692307692307692,-0.4571428571428571,0.4769230769230769,-0.4571428571428571,0.4448979591836735,-1.1296703296703297,1.0,0.06593406593406592,-0.4571428571428573
