material_id,adsorbate_type,Nearest_Atom,Nearest_Normalized_Distance,disorder,delta_Bi,delta_Co,delta_La,delta_Ni,delta_Sn
CONTCAR-3_La_2-4_La_4,OCHO,La,0.869140114,0.251282051,0.19047619,0.128205128,-0.619047619,0.128205128,0.19047619
CONTCAR-3_La_2-5_Sn_45,OCHO,La,0.873012905,0.251282051,0.19047619,0.128205128,-0.619047619,0.128205128,0.19047619
CONTCAR-3_La_2-6_Bi_65,OCHO,La,0.919415929,0.251282051,0.19047619,0.128205128,-0.619047619,0.128205128,0.19047619
CONTCAR-3_La_2-7_La_7,OCHO,La,0.900635735,1.171428571,-1.428571429,1,-1.428571429,1,1
CONTCAR-4_La_3-1_Sn_48,OCHO,La,0.87609922,0.605651491,-0.387755102,1,0.306122449,0.252747253,-1.081632653
CONTCAR-4_La_3-2_Sn_44,OCHO,La,0.872638094,0.911355311,1,1,0.19047619,0.128205128,-2.238095238
CONTCAR-4_La_3-3_Sn_40,OCHO,La,0.871788706,0.691330891,0.46031746,0.418803419,0.46031746,0.418803419,-1.698412698
CONTCAR-4_La_3-4_Sn_51,OCHO,La,0.920331247,0.676373626,-0.214285714,0.346153846,0.392857143,1,-1.428571429
CONTCAR-4_La_3-6_Bi_66,OCHO,La,0.85396956,0.847619048,-0.619047619,1,0.19047619,1,-1.428571429
CONTCAR-5_La_4-1_Bi_61,OCHO,La,0.874346034,0.295054945,-0.214285714,-0.307692308,-0.214285714,0.346153846,0.392857143
CONTCAR-5_La_4-2_Co_22,OCHO,La,0.907715396,0.648351648,-0.387755102,-1.241758242,0.306122449,1,0.306122449
CONTCAR-5_La_4-4_Ni_39,OCHO,La,0.873412697,0.295054945,-0.214285714,-0.307692308,-0.214285714,0.346153846,0.392857143
CONTCAR-5_La_4-5_Bi_54,OCHO,La,0.909022433,0.548717949,-0.619047619,-0.743589744,0.19047619,1,0.19047619
CONTCAR-5_La_4-6_Sn_45,OCHO,La,0.922087454,0.317425432,-0.387755102,0.252747253,-0.387755102,0.252747253,0.306122449
CONTCAR-6_La_5-1_La_8,OCHO,La,0.892765252,0.317425432,-0.387755102,0.252747253,-0.387755102,0.252747253,0.306122449
CONTCAR-6_La_5-2_La_7,OCHO,La,0.890848991,0.884981685,1,1,-0.619047619,-1.615384615,0.19047619
CONTCAR-6_La_5-3_Sn_50,OCHO,La,0.890218277,0.884981685,1,1,-0.619047619,-1.615384615,0.19047619
