elem,material_id_a,adsorbate_type_a,material_id_b,adsorbate_type_b,similarity,delta_G_OCHO,delta_G_H
Bi,CONTCAR-4_Bi_33-1_Bi_55,OCHO,CONTCAR-1_Bi_37,H,-0.5456699699115786,0.09339000000004657,0.7430600000000619
Bi,CONTCAR-4_Bi_33-1_Bi_55,OCHO,CONTCAR-2_Bi_7,H,-0.6637895953396226,0.09339000000004657,0.7373000000000526
Bi,CONTCAR-4_Bi_33-1_Bi_55,OCHO,CONTCAR-3_Bi_66,H,0.21716658585189486,0.09339000000004657,0.7591900000000374
Bi,CONTCAR-4_Bi_33-1_Bi_55,OCHO,CONTCAR-4_Bi_18,H,-0.41763630248260325,0.09339000000004657,0.7330400000000646
Bi,CONTCAR-4_Bi_33-1_Bi_55,OCHO,CONTCAR-5_Bi_25,H,-0.25139848057593,0.09339000000004657,0.7301400000000536
Bi,CONTCAR-4_Bi_33-1_Bi_55,OCHO,CONTCAR-6_Bi_36,H,-0.33732760569330517,0.09339000000004657,0.7222400000000472
Bi,CONTCAR-4_Bi_33-1_Bi_55,OCHO,CONTCAR-7_Bi_27,H,0.20279333602616187,0.09339000000004657,0.7552100000000247
Bi,CONTCAR-4_Bi_33-1_Bi_55,OCHO,CONTCAR-8_Bi_16,H,-0.683657402715796,0.09339000000004657,0.8024100000000568
Bi,CONTCAR-4_Bi_33-1_Bi_55,OCHO,CONTCAR-9_Bi_5,H,0.44949826142473404,0.09339000000004657,0.7271200000000614
Bi,CONTCAR-5_Bi_66-1_Bi_5,OCHO,CONTCAR-10_Bi_0,H,-0.249058552294234,0.1415000000000549,0.946070000000068
Bi,CONTCAR-5_Bi_66-1_Bi_5,OCHO,CONTCAR-1_Bi_37,H,-0.8557865864203845,0.1415000000000549,0.7430600000000619
Bi,CONTCAR-5_Bi_66-1_Bi_5,OCHO,CONTCAR-2_Bi_7,H,-0.7716174059956635,0.1415000000000549,0.7373000000000526
Bi,CONTCAR-5_Bi_66-1_Bi_5,OCHO,CONTCAR-3_Bi_66,H,0.9901656706693147,0.1415000000000549,0.7591900000000374
Bi,CONTCAR-5_Bi_66-1_Bi_5,OCHO,CONTCAR-4_Bi_18,H,-0.9941936188683119,0.1415000000000549,0.7330400000000646
Bi,CONTCAR-5_Bi_66-1_Bi_5,OCHO,CONTCAR-5_Bi_25,H,-0.7781357792174048,0.1415000000000549,0.7301400000000536
Bi,CONTCAR-5_Bi_66-1_Bi_5,OCHO,CONTCAR-6_Bi_36,H,0.661129163702939,0.1415000000000549,0.7222400000000472
Bi,CONTCAR-5_Bi_66-1_Bi_5,OCHO,CONTCAR-7_Bi_27,H,-0.7762301750346674,0.1415000000000549,0.7552100000000247
Bi,CONTCAR-5_Bi_66-1_Bi_5,OCHO,CONTCAR-8_Bi_16,H,0.38281697792343883,0.1415000000000549,0.8024100000000568
Bi,CONTCAR-5_Bi_66-1_Bi_5,OCHO,CONTCAR-9_Bi_5,H,0.9908320094525644,0.1415000000000549,0.7271200000000614
Bi,CONTCAR-6_Bi_47-1_Bi_65,OCHO,CONTCAR-10_Bi_0,H,0.9899964489740087,0.2704000000000423,0.946070000000068
Bi,CONTCAR-6_Bi_47-1_Bi_65,OCHO,CONTCAR-1_Bi_37,H,0.2302031417699152,0.2704000000000423,0.7430600000000619
Bi,CONTCAR-6_Bi_47-1_Bi_65,OCHO,CONTCAR-2_Bi_7,H,0.2849105259769981,0.2704000000000423,0.7373000000000526
Bi,CONTCAR-6_Bi_47-1_Bi_65,OCHO,CONTCAR-3_Bi_66,H,-0.341854939658917,0.2704000000000423,0.7591900000000374
Bi,CONTCAR-6_Bi_47-1_Bi_65,OCHO,CONTCAR-4_Bi_18,H,0.40558813863366766,0.2704000000000423,0.7330400000000646
Bi,CONTCAR-6_Bi_47-1_Bi_65,OCHO,CONTCAR-5_Bi_25,H,0.6842094114838781,0.2704000000000423,0.7301400000000536
Bi,CONTCAR-6_Bi_47-1_Bi_65,OCHO,CONTCAR-6_Bi_36,H,-0.14547194282921286,0.2704000000000423,0.7222400000000472
Bi,CONTCAR-6_Bi_47-1_Bi_65,OCHO,CONTCAR-7_Bi_27,H,-0.29963470498494943,0.2704000000000423,0.7552100000000247
Bi,CONTCAR-6_Bi_47-1_Bi_65,OCHO,CONTCAR-8_Bi_16,H,0.2170510095262586,0.2704000000000423,0.8024100000000568
Bi,CONTCAR-6_Bi_47-1_Bi_65,OCHO,CONTCAR-9_Bi_5,H,-0.4423505786799581,0.2704000000000423,0.7271200000000614
Bi,CONTCAR-7_Bi_14-1_Bi_36,OCHO,CONTCAR-10_Bi_0,H,0.097668528463357,0.2505500000000228,0.946070000000068
Bi,CONTCAR-7_Bi_14-1_Bi_36,OCHO,CONTCAR-1_Bi_37,H,-0.3215381517612545,0.2505500000000228,0.7430600000000619
Bi,CONTCAR-7_Bi_14-1_Bi_36,OCHO,CONTCAR-2_Bi_7,H,-0.1525697649509492,0.2505500000000228,0.7373000000000526
Bi,CONTCAR-7_Bi_14-1_Bi_36,OCHO,CONTCAR-3_Bi_66,H,0.797701636751133,0.2505500000000228,0.7591900000000374
Bi,CONTCAR-7_Bi_14-1_Bi_36,OCHO,CONTCAR-4_Bi_18,H,-0.6314471257783557,0.2505500000000228,0.7330400000000646
Bi,CONTCAR-7_Bi_14-1_Bi_36,OCHO,CONTCAR-5_Bi_25,H,-0.6991626864900341,0.2505500000000228,0.7301400000000536
Bi,CONTCAR-7_Bi_14-1_Bi_36,OCHO,CONTCAR-6_Bi_36,H,0.9667327778873955,0.2505500000000228,0.7222400000000472
Bi,CONTCAR-7_Bi_14-1_Bi_36,OCHO,CONTCAR-7_Bi_27,H,-0.7793869017917318,0.2505500000000228,0.7552100000000247
Bi,CONTCAR-7_Bi_14-1_Bi_36,OCHO,CONTCAR-8_Bi_16,H,0.920819391754492,0.2505500000000228,0.8024100000000568
