elem,material_id_b,n_matched_A
Bi,CONTCAR-10_Bi_0,1
Bi,CONTCAR-3_Bi_66,1
Bi,CONTCAR-6_Bi_36,1
Bi,CONTCAR-8_Bi_16,1
Bi,CONTCAR-9_Bi_5,1
Co,CONTCAR-10_Co_39,1
Co,CONTCAR-1_Co_38,2
Co,CONTCAR-2_Co_60,2
Co,CONTCAR-5_Co_67,2
La,CONTCAR-3_La_36,2
La,CONTCAR-6_La_21,1
La,CONTCAR-7_La_0,1
Ni,CONTCAR-2_Ni_54,1
Ni,CONTCAR-3_Ni_52,2
Sn,CONTCAR-1_Sn_26,1
Sn,CONTCAR-7_Sn_10,1
Sn,CONTCAR-8_Sn_39,1
