elem,material_id_a,adsorbate_type_a,material_id_b,adsorbate_type_b,similarity,delta_G_OCHO,delta_G_COOH
Bi,CONTCAR-4_Bi_33-1_Bi_55,OCHO,CONTCAR-10_Bi_56,COOH,0.745601642638546,0.09339000000004657,1.1744700000000097
Bi,CONTCAR-4_Bi_33-1_Bi_55,OCHO,CONTCAR-1_Bi_53,COOH,-0.22124779391043436,0.09339000000004657,1.1691699999999758
Bi,CONTCAR-4_Bi_33-1_Bi_55,OCHO,CONTCAR-2_Bi_9,COOH,-0.6404274720739842,0.09339000000004657,1.175089999999979
Bi,CONTCAR-4_Bi_33-1_Bi_55,OCHO,CONTCAR-3_Bi_1,COOH,0.6744608228180592,0.09339000000004657,1.1828000000000105
Bi,CONTCAR-4_Bi_33-1_Bi_55,OCHO,CONTCAR-4_Bi_61,COOH,0.21301440923407688,0.09339000000004657,1.1484200000000118
Bi,CONTCAR-4_Bi_33-1_Bi_55,OCHO,CONTCAR-5_Bi_23,COOH,-0.9844737066756655,0.09339000000004657,0.9523900000000043
Bi,CONTCAR-4_Bi_33-1_Bi_55,OCHO,CONTCAR-6_Bi_18,COOH,-0.34109638493144645,0.09339000000004657,0.9278299999999962
Bi,CONTCAR-4_Bi_33-1_Bi_55,OCHO,CONTCAR-7_Bi_16,COOH,-0.6724087849857702,0.09339000000004657,1.1616699999999827
Bi,CONTCAR-4_Bi_33-1_Bi_55,OCHO,CONTCAR-8_Bi_10,COOH,0.4488794329362263,0.09339000000004657,0.8883199999999891
Bi,CONTCAR-4_Bi_33-1_Bi_55,OCHO,CONTCAR-9_Bi_8,COOH,-0.5167825403798014,0.09339000000004657,0.9278799999999836
Bi,CONTCAR-5_Bi_66-1_Bi_5,OCHO,CONTCAR-10_Bi_56,COOH,0.8706371609909822,0.1415000000000549,1.1744700000000097
Bi,CONTCAR-5_Bi_66-1_Bi_5,OCHO,CONTCAR-1_Bi_53,COOH,0.6728308608864111,0.1415000000000549,1.1691699999999758
Bi,CONTCAR-5_Bi_66-1_Bi_5,OCHO,CONTCAR-2_Bi_9,COOH,-0.7030224705117952,0.1415000000000549,1.175089999999979
Bi,CONTCAR-5_Bi_66-1_Bi_5,OCHO,CONTCAR-3_Bi_1,COOH,-0.4103285016228732,0.1415000000000549,1.1828000000000105
Bi,CONTCAR-5_Bi_66-1_Bi_5,OCHO,CONTCAR-4_Bi_61,COOH,0.49055041502349683,0.1415000000000549,1.1484200000000118
Bi,CONTCAR-5_Bi_66-1_Bi_5,OCHO,CONTCAR-5_Bi_23,COOH,-0.3389906426169553,0.1415000000000549,0.9523900000000043
Bi,CONTCAR-5_Bi_66-1_Bi_5,OCHO,CONTCAR-6_Bi_18,COOH,-0.9988645305112377,0.1415000000000549,0.9278299999999962
Bi,CONTCAR-5_Bi_66-1_Bi_5,OCHO,CONTCAR-7_Bi_16,COOH,0.40000284714983486,0.1415000000000549,1.1616699999999827
Bi,CONTCAR-5_Bi_66-1_Bi_5,OCHO,CONTCAR-8_Bi_10,COOH,0.3020355634718042,0.1415000000000549,0.8883199999999891
Bi,CONTCAR-5_Bi_66-1_Bi_5,OCHO,CONTCAR-9_Bi_8,COOH,0.41172607577353343,0.1415000000000549,0.9278799999999836
Bi,CONTCAR-6_Bi_47-1_Bi_65,OCHO,CONTCAR-10_Bi_56,COOH,-0.6135728609692334,0.2704000000000423,1.1744700000000097
Bi,CONTCAR-6_Bi_47-1_Bi_65,OCHO,CONTCAR-1_Bi_53,COOH,0.43391941931869693,0.2704000000000423,1.1691699999999758
Bi,CONTCAR-6_Bi_47-1_Bi_65,OCHO,CONTCAR-2_Bi_9,COOH,0.9116221685889097,0.2704000000000423,1.175089999999979
Bi,CONTCAR-6_Bi_47-1_Bi_65,OCHO,CONTCAR-3_Bi_1,COOH,-0.22722726378267968,0.2704000000000423,1.1828000000000105
Bi,CONTCAR-6_Bi_47-1_Bi_65,OCHO,CONTCAR-4_Bi_61,COOH,0.3346481643405533,0.2704000000000423,1.1484200000000118
Bi,CONTCAR-6_Bi_47-1_Bi_65,OCHO,CONTCAR-5_Bi_23,COOH,0.640635544088238,0.2704000000000423,0.9523900000000043
Bi,CONTCAR-6_Bi_47-1_Bi_65,OCHO,CONTCAR-6_Bi_18,COOH,0.35005619998449095,0.2704000000000423,0.9278299999999962
Bi,CONTCAR-6_Bi_47-1_Bi_65,OCHO,CONTCAR-7_Bi_16,COOH,0.209686170506141,0.2704000000000423,1.1616699999999827
Bi,CONTCAR-6_Bi_47-1_Bi_65,OCHO,CONTCAR-8_Bi_10,COOH,0.19624800798796074,0.2704000000000423,0.8883199999999891
Bi,CONTCAR-6_Bi_47-1_Bi_65,OCHO,CONTCAR-9_Bi_8,COOH,0.6951287840707819,0.2704000000000423,0.9278799999999836
Bi,CONTCAR-7_Bi_14-1_Bi_36,OCHO,CONTCAR-10_Bi_56,COOH,0.280786401766034,0.2505500000000228,1.1744700000000097
Bi,CONTCAR-7_Bi_14-1_Bi_36,OCHO,CONTCAR-1_Bi_53,COOH,0.656451342842307,0.2505500000000228,1.1691699999999758
Bi,CONTCAR-7_Bi_14-1_Bi_36,OCHO,CONTCAR-2_Bi_9,COOH,-0.339984042567052,0.2505500000000228,1.175089999999979
Bi,CONTCAR-7_Bi_14-1_Bi_36,OCHO,CONTCAR-3_Bi_1,COOH,-0.9328420166844912,0.2505500000000228,1.1828000000000105
Bi,CONTCAR-7_Bi_14-1_Bi_36,OCHO,CONTCAR-4_Bi_61,COOH,0.11192775530146323,0.2505500000000228,1.1484200000000118
Bi,CONTCAR-7_Bi_14-1_Bi_36,OCHO,CONTCAR-5_Bi_23,COOH,0.41347966606218334,0.2505500000000228,0.9523900000000043
Bi,CONTCAR-7_Bi_14-1_Bi_36,OCHO,CONTCAR-6_Bi_18,COOH,-0.6892050251309272,0.2505500000000228,0.9278299999999962
Bi,CONTCAR-7_Bi_14-1_Bi_36,OCHO,CONTCAR-7_Bi_16,COOH,0.9279863948278152,0.2505500000000228,1.1616699999999827
Bi,CONTCAR-7_Bi_14-1_Bi_36,OCHO,CONTCAR-8_Bi_10,COOH,-0.23318860650091608,0.2505500000000228,0.8883199999999891
Bi,CONTCAR-7_Bi_14-1_Bi_36,OCHO,CONTCAR-9_Bi_8,COOH,0.6135806321307954,0.2505500000000228,0.9278799999999836
Bi,CONTCAR-8_Bi_40-1_Bi_64,OCHO,CONTCAR-10_Bi_56,COOH,-0.21043937010547817,0.39732000000002643,1.1744700000000097
Bi,CONTCAR-8_Bi_40-1_Bi_64,OCHO,CONTCAR-1_Bi_53,COOH,0.7380986504224366,0.39732000000002643,1.1691699999999758
Bi,CONTCAR-8_Bi_40-1_Bi_64,OCHO,CONTCAR-2_Bi_9,COOH,0.3320485949615334,0.39732000000002643,1.175089999999979
Bi,CONTCAR-8_Bi_40-1_Bi_64,OCHO,CONTCAR-3_Bi_1,COOH,-0.8516816537060901,0.39732000000002643,1.1828000000000105
