structure_id,n_all,n_surface,n_bulk,r_thr,r_max,center_x,center_y,center_z,disorder_all,disorder_surface,disorder_bulk,alpha_Bi_Bi__all,alpha_Bi_Bi__bulk,alpha_Bi_Bi__surface,alpha_Bi_La__all,alpha_Bi_La__bulk,alpha_Bi_La__surface,alpha_Bi_Sn__all,alpha_Bi_Sn__bulk,alpha_Bi_Sn__surface,alpha_La_Bi__all,alpha_La_Bi__bulk,alpha_La_Bi__surface,alpha_La_La__all,alpha_La_La__bulk,alpha_La_La__surface,alpha_La_Sn__all,alpha_La_Sn__bulk,alpha_La_Sn__surface,alpha_Sn_Bi__all,alpha_Sn_Bi__bulk,alpha_Sn_Bi__surface,alpha_Sn_La__all,alpha_Sn_La__bulk,alpha_Sn_La__surface,alpha_Sn_Sn__all,alpha_Sn_Sn__bulk,alpha_Sn_Sn__surface
0.optdone,68,60,8,3.9314651726157237,7.862930345231447,22.767882915732745,22.558370981498804,22.642974963197666,0.3338651423660302,0.3381415901068954,0.43138437515249106,0.39709431982159255,0.24444444444444452,0.44199134199134205,-0.5035918188092101,-0.2680193236714975,-0.5728778467908903,0.12376246941464339,0.03420289855072465,0.15010351966873714,-0.24137649789823695,-0.8545454545454545,-0.18297945440802574,0.6073273922045188,1.0,0.5699300009859016,-0.37644552464968334,-0.1826086956521738,-0.39490617503039854,0.17954388606562527,0.31313131313131315,0.17347173028991214,-0.373691001290245,-0.642512077294686,-0.36147186147186133,0.20195337114051673,0.3429951690821257,0.1955423803249891
10.optdone,68,56,12,4.154971650254491,8.309943300508982,22.730232672743746,22.989420326293576,23.278043435669844,0.32097039624991425,0.30614539691834375,0.367927974041281,0.43737791134485354,0.11487603305785138,0.4696280991735537,-0.5835309617918313,-0.5454545454545453,-0.5873386034255599,0.16516948137501497,0.43557312252964425,0.13812911725955207,-0.3342017008024911,-0.0855647382920109,-0.40326752372206903,0.4897871504676797,0.6308827404479578,0.45059393102871365,-0.17011595839573151,-0.5490382081686429,-0.06485977790325612,0.2632115359388087,0.4514657060111606,0.21091871091871098,-0.34855321112409954,-0.46516671734063025,-0.3161605705083965,0.09678565500871747,0.03332995506908563,0.11441223832528186
100.optdone,68,60,8,4.1961318406780785,8.392263681356157,22.749095548174513,23.180411195633457,22.882184910725766,0.3815991126468299,0.37155900730580327,0.5619467401285584,0.3348747212383576,0.8282828282828283,0.2855339105339106,-0.664643327686806,-1.2995169082125604,-0.6011559696342303,0.34432837693707263,0.5072463768115942,0.3280365769496204,-0.3671682950339077,-0.26196510560146924,-0.396391403209585,0.6623575752120174,0.5487571365832234,0.6939132526089049,-0.3111531190926276,-0.2981818181818181,-0.314756258234519,0.3325331234422144,0.6565656565656566,0.3178043719366034,-0.367704318365944,-0.642512077294686,-0.35521305659645575,0.04962915681252169,0.01449275362318847,0.05122626604840046
1001.optdone,68,63,5,3.7553359681538114,7.510671936307623,22.86463585020477,22.81782597313482,22.616948290594166,0.41363963974091716,0.4257677108985221,0.35927899992458623,0.2617276662731209,-0.15909090909090895,0.30380952380952386,-0.6160079051383399,-0.2934782608695652,-0.6482608695652173,0.3656597026162244,0.4456521739130435,0.35766045548654246,-0.46019711513782646,-0.529843893480257,-0.45356408862902353,0.7305946311617388,0.4325867369345631,0.7589763353738509,-0.2904060862472961,0.07422046552481343,-0.32513242451130653,0.3383022774327123,0.31313131313131315,0.3394464121736849,-0.49172742821136006,-0.642512077294686,-0.48487358052575436,0.1681339454496355,0.3429951690821257,0.16018570801179502
1002.optdone,68,58,10,4.124749461613101,8.249498923226202,22.950613889955605,22.68606294395067,22.762716083963678,0.39208016396393547,0.3959738501141663,0.38973943800469923,0.5713203463203463,0.43333333333333335,0.601984126984127,-0.5767049375745027,-0.6342995169082125,-0.5639061421670117,0.03022460631156287,0.21980676328502421,-0.011904761904761875,-0.34020840819259784,-0.4986225895316803,-0.3164462809917354,0.6687059632239216,0.8208168642951251,0.6458893280632412,-0.34328922495274095,-0.34387351778656106,-0.3432015810276679,0.14125415647154785,-0.05319865319865317,0.170422077922078,-0.4960632520178833,-0.2264090177133654,-0.536511387163561,0.36095058061031593,0.2772946859903382,0.3734989648033127
1003.optdone,68,60,8,4.0239472282792175,8.047894456558435,23.084968324294667,23.28536496955908,22.78992140613946,0.33470758236181847,0.31029001259394434,0.5574626369092771,0.3523809523809525,0.6393939393939394,0.30706311232627026,-0.4552230378317335,-0.8231884057971014,-0.3971232428898333,0.11816299642386605,0.2115942028985508,0.10341070066470527,-0.08803298151124228,-0.030303030303030276,-0.09065707020252466,0.5052805417644737,1.0,0.48279329366285884,-0.42107508118850256,-0.9710144927536231,-0.39607783520826984,0.18752374108105338,0.4786042240587695,0.12624363940153419,-0.5320297220108183,-0.6604303908651733,-0.5049980022520068,0.35265918706372407,0.20263504611330704,0.38424321673749595
1006.optdone,68,60,8,4.0214818157599055,8.042963631519811,22.555709854146897,22.464921272493513,22.65699426429443,0.4071329253785367,0.4013121976187413,0.5041168159415854,0.485720248530166,0.3931359044995409,0.5062945472036381,-0.6471516406299015,-0.7433025911286779,-0.6257847627412845,0.18254966377496026,0.3672595520421609,0.14150302193780456,-0.44256968328114554,-0.4424242424242424,-0.44259149940968107,0.7205967315608148,0.6222222222222222,0.7353529079616037,-0.29726920842232746,-0.19903381642512075,-0.3120045172219084,0.19483456815472633,0.1570247933884299,0.19655319428046705,-0.439934042013437,-0.8814229249011856,-0.41986636551853934,0.25357054203935114,0.7312252964426877,0.23185896229374495
1007.optdone,68,57,11,4.087664809507882,8.175329619015764,22.38079580008569,22.608901320314605,22.536090187599278,0.3789096953744373,0.3792496442714984,0.5020146568894922,0.49917683326774226,0.6565656565656566,0.49168212739641315,-0.6528044419348766,-0.9710144927536231,-0.6376515823720792,0.17533094924399278,0.3429951690821257,0.16734693877551024,-0.2023573264679983,0.24834710743801666,-0.32755300255300246,0.5379253176984745,0.3011857707509881,0.6036863029616653,-0.3443661358595196,-0.5387351778656126,-0.2903747353022715,0.32566346696781484,0.7458585858585859,0.2089426006092673,-0.4920334863624088,-0.6687922705314009,-0.44293382409324433,0.1805293005671078,-0.04463768115942026,0.2430756843800323
1008.optdone,68,57,11,4.061521911243839,8.123043822487679,23.242419424559046,22.802432565992284,22.55164769495247,0.25404694034365904,0.2547392114716497,0.3343087440057137,0.3762328121832254,0.4380165289256198,0.3732907304335876,-0.419939085946991,-0.07509881422924902,-0.4363600512668835,0.06006422211955813,-0.34387351778656106,0.07929935259127809,-0.10652373537749027,0.31313131313131315,-0.2230945821854912,0.3835525113407911,0.3071585419411507,0.40477305839624683,-0.28166024271884377,-0.6066754501537108,-0.19137824065360287,0.1979760906638378,0.38369146005509647,0.14638848805515478,-0.32492109864510615,-0.4540711462450592,-0.2890460854228969,0.13555266409708758,0.08706192358366271,0.1490223142397056
1009.optdone,68,61,7,3.853935689164026,7.707871378328052,22.51305253258746,22.716265515750145,22.782354062992336,0.29624882221717563,0.2996374376178915,0.3138639358006946,0.34020160280490863,,0.34020160280490863,-0.3692432512590615,,-0.3692432512590615,0.043833022489149026,,0.043833022489149026,-0.17005192874758085,-0.08181818181818173,-0.17845514274085694,0.5171147902716902,0.5565217391304347,0.5133617475232383,-0.35445642364356905,-0.4782608695652173,-0.3426655240319835,0.12016038419200481,0.3918089990817264,0.04470243561152658,-0.4330570081042671,-0.3594027228809836,-0.45351653177740125,0.3181209884423495,-0.015371102327623976,0.4107576803228977
