structure_id,n_surface,n_bulk,r_thr,r_max,center_x,center_y,center_z,alpha_Bi__bulk,alpha_Bi__surface,alpha_La__bulk,alpha_La__surface,alpha_Sn__bulk,alpha_Sn__surface
0.optdone,60,8,3.9314651726157237,7.862930345231447,22.767882915732745,22.558370981498804,22.642974963197666,-0.9318181818181817,0.12424242424242427,0.26086956521739135,-0.03478260869565197,0.6304347826086957,-0.08405797101449264
10.optdone,56,12,4.154971650254491,8.309943300508982,22.730232672743746,22.989420326293576,23.278043435669844,0.48484848484848486,-0.10389610389610393,-0.2318840579710144,0.0496894409937888,-0.2318840579710144,0.0496894409937888
100.optdone,60,8,4.1961318406780785,8.392263681356157,22.749095548174513,23.180411195633457,22.882184910725766,0.2272727272727273,-0.030303030303030276,-0.8478260869565217,0.11304347826086969,0.6304347826086957,-0.08405797101449264
1001.optdone,63,5,3.7553359681538114,7.510671936307623,22.86463585020477,22.81782597313482,22.616948290594166,-0.23636363636363633,0.018759018759018864,-0.18260869565217397,0.01449275362318847,0.408695652173913,-0.032436162870945306
1002.optdone,58,10,4.124749461613101,8.249498923226202,22.950613889955605,22.68606294395067,22.762716083963678,-0.23636363636363633,0.040752351097178674,0.11304347826086969,-0.019490254872563728,0.11304347826086969,-0.019490254872563728
1003.optdone,60,8,4.0239472282792175,8.047894456558435,23.084968324294667,23.28536496955908,22.78992140613946,-0.15909090909090895,0.02121212121212135,0.6304347826086957,-0.08405797101449264,-0.4782608695652173,0.06376811594202914
1006.optdone,60,8,4.0214818157599055,8.042963631519811,22.555709854146897,22.464921272493513,22.65699426429443,-0.5454545454545454,0.07272727272727286,-0.10869565217391308,0.01449275362318847,0.6304347826086957,-0.08405797101449264
1007.optdone,57,11,4.087664809507882,8.175329619015764,22.38079580008569,22.608901320314605,22.536090187599278,0.71900826446281,-0.13875598086124397,-0.34387351778656106,0.06636155606407335,-0.34387351778656106,0.06636155606407335
1008.optdone,57,11,4.061521911243839,8.123043822487679,23.242419424559046,22.802432565992284,22.55164769495247,0.71900826446281,-0.13875598086124397,-0.34387351778656106,0.06636155606407335,-0.34387351778656106,0.06636155606407335
1009.optdone,61,7,3.853935689164026,7.707871378328052,22.51305253258746,22.716265515750145,22.782354062992336,1.0,-0.11475409836065564,0.15527950310559013,-0.017818959372772447,-1.1118012422360248,0.12758374910905212
101.optdone,58,10,4.004038085525121,8.008076171050241,22.507286146210483,23.052663405693675,22.92842838809692,0.07272727272727286,-0.0125391849529779,0.11304347826086969,-0.019490254872563728,-0.18260869565217397,0.03148425787106457
1010.optdone,61,7,3.789839875535577,7.579679751071154,22.612839109062673,22.628372752033304,22.735309280424712,-0.32467532467532445,0.037257824143070106,0.15527950310559013,-0.017818959372772447,0.15527950310559013,-0.017818959372772447
1012.optdone,60,8,3.7372870348852003,7.474574069770401,22.844241724549356,22.794777956864994,22.78699844797573,-0.15909090909090895,0.02121212121212135,0.26086956521739135,-0.03478260869565197,-0.10869565217391308,0.01449275362318847
1013.optdone,57,11,4.0830761841886565,8.166152368377313,22.9794355787881,22.908331995837266,22.847636601399053,-0.12396694214876036,0.02392344497607668,-0.07509881422924902,0.01449275362318847,0.19367588932806334,-0.037376048817696406
1014.optdone,57,11,4.3058366735423395,8.611673347084679,23.36414511757589,23.03089784717508,22.744802203444458,-0.12396694214876036,0.02392344497607668,-0.07509881422924902,0.01449275362318847,0.19367588932806334,-0.037376048817696406
1015.optdone,57,11,3.9054934609073,7.8109869218146,23.162387969640402,23.100209131499206,22.80644394301531,0.1570247933884299,-0.030303030303030276,-0.34387351778656106,0.06636155606407335,0.19367588932806334,-0.037376048817696406
1017.optdone,54,14,4.61238087769501,9.22476175539002,23.213710667567597,22.67623502436856,22.820713008131698,0.3376623376623378,-0.08754208754208759,-0.26708074534161486,0.06924315619967791,-0.05590062111801242,0.01449275362318847
102.optdone,58,10,4.2845857258819215,8.569171451763843,22.74830787721937,22.523534438108726,22.468861942259515,-0.23636363636363633,0.040752351097178674,-0.4782608695652173,0.08245877061469264,0.7043478260869565,-0.12143928035981988
1020.optdone,57,11,4.268006540860184,8.536013081720368,22.957653998277316,22.6061495210241,22.873728974133314,-0.4049586776859504,0.07814992025518352,0.19367588932806334,-0.037376048817696406,0.19367588932806334,-0.037376048817696406
1021.optdone,58,10,4.006913371676243,8.013826743352485,22.665871714124822,22.832015342325636,22.668094860825107,0.07272727272727286,-0.0125391849529779,-0.18260869565217397,0.03148425787106457,0.11304347826086969,-0.019490254872563728
1022.optdone,56,12,4.134301934613356,8.268603869226713,22.875472669805262,22.43405659439117,22.983954951787332,0.2272727272727273,-0.04870129870129869,0.5072463768115942,-0.10869565217391308,-0.7246376811594204,0.15527950310559013
1023.optdone,54,14,4.2635226035607685,8.527045207121537,22.67861682033397,23.027665776704705,22.805913750565864,0.3376623376623378,-0.08754208754208759,0.36645962732919257,-0.09500805152979064,-0.6894409937888197,0.17874396135265702
1024.optdone,59,9,4.069497443471613,8.138994886943227,23.05991095705818,23.226394151650936,23.328549759515013,-0.030303030303030276,0.0046224961479199855,0.3429951690821257,-0.052321296978629306,-0.31400966183574863,0.04789977892409736
1025.optdone,58,10,3.9314280384958367,7.862856076991673,22.950526854111427,22.587661521611995,22.922584210180787,0.38181818181818183,-0.0658307210031348,-0.18260869565217397,0.03148425787106457,-0.18260869565217397,0.03148425787106457
