G,pH=1,pH=7,pH=14
0.883333333,-4.284583763,-6.267753789,-9.713887295
0.9,-4.600272538,-6.583444837,-10.02957836
0.916666667,-4.915962575,-6.899135894,-10.34526943
0.933333333,-5.231653176,-7.214826955,-10.6609605
0.95,-5.547344031,-7.530518019,-10.97665157
0.966666667,-5.863035,-7.846209084,-11.29234264
0.983333333,-6.17872602,-8.161900149,-11.6080337
1,-6.494417064,-8.477591216,-11.92372477
1.016666667,-6.81010812,-8.793282282,-12.23941584
1.033333333,-7.12579918,-9.108973349,-12.55510691
1.05,-7.441490243,-9.424664417,-12.87079798
1.066666667,-7.757181308,-9.740355484,-13.18648905
1.083333333,-8.072872373,-10.05604655,-13.50218011
1.1,-8.388563439,-10.37173762,-13.81787118
1.116666667,-8.704254506,-10.68742869,-14.13356225
1.133333333,-9.019945573,-11.00311976,-14.44925332
1.15,-9.33563664,-11.31881082,-14.76494439
1.166666667,-9.651327708,-11.63450189,-15.08063981
1.183333333,-9.967018775,-11.95019296,-15.39632695
1.2,-10.28270984,-12.26588403,-15.71201759
1.216666667,-10.59840091,-12.5815751,-16.02770866
1.233333333,-10.91409198,-12.89726617,-16.34342028
1.25,-11.22978305,-13.21295723,-16.6590908
1.266666667,-11.54547412,-13.5286483,-16.97483996
1.283333333,-11.86116518,-13.84433937,-17.29048809
1.3,-12.17685625,-14.16003044,-17.60616401
1.316666667,-12.49254732,-14.47572151,-17.92185508
1.333333333,-12.80823839,-14.79141295,-18.23754615
1.35,-13.12392946,-15.10710365,-18.5532374
1.366666667,-13.43962053,-15.42280101,-18.86892828
1.383333333,-13.7553116,-15.73848578,-19.18461935
1.4,-14.07100267,-16.05421723,-19.50031042
1.416666667,-14.38669373,-16.36987295,-19.81600149
1.433333333,-14.70238585,-16.68555899,-20.13169256
1.45,-15.01807587,-17.00126984,-20.57480912
1.466666667,-15.33377397,-17.31698467,
1.483333333,-15.6494626,-17.6326322,
1.5,-15.96515376,-17.94832327,-21.39445683
1.516666667,-16.28085667,-18.26401433,-21.7101479
1.533333333,-16.59653121,-18.57970549,-22.02583897
1.55,-16.91228644,-18.89539647,-22.34153004
1.566666667,-17.22794052,-19.21108754,
1.583333333,-17.54368051,-19.52677861,
1.6,-17.85929549,-19.84246968,
1.616666667,-18.17498656,-20.15816075,-23.60429432
1.633333333,-18.49067763,-20.62574915,
1.65,-18.80637976,,-24.23567645
1.666666667,-19.12205976,,-24.55136752
1.683333333,-19.43775083,-21.42092502,-24.86705859
1.7,-19.7534419,,-25.18274966
1.716666667,-20.72842129,,
1.733333333,-20.38482404,,
1.75,-20.70051511,-22.6836893,-26.12982287
1.766666667,,-22.99938037,-26.44551393
1.783333333,,-23.31507144,
1.8,,,
1.816666667,,-23.94645357,-27.39258714
1.833333333,-22.27897045,-24.26214464,
1.85,-22.59466152,,
1.866666667,,,-28.33966035
1.883333333,-23.22604366,,-28.65535142
1.9,-23.54173473,-25.52490892,
1.916666667,,-25.84059999,
1.933333333,,,
1.95,,,-29.91811569
1.966666667,-24.804499,,-30.23380676
1.983333333,,,
2,-25.43588114,-27.41905533,
2.016666667,-25.75157221,,
2.033333333,,-28.05043747,-31.49657104
2.05,-26.38295435,,-31.8122621
2.066666667,-26.69864542,,-32.12795317
2.083333333,,-28.99751067,
2.1,,,
2.116666667,,,
2.133333333,-27.96140969,,-33.39071745
2.15,,,-33.70640852
2.166666667,,-30.57596602,-34.02209959
2.183333333,,-30.89165709,
2.2,-29.22417397,-31.20734816,-34.65348172
2.216666667,-29.53986503,-31.52303922,-34.96917279
2.233333333,,-31.83873029,
2.25,-30.17124717,-32.15442136,
2.266666667,,,
2.283333333,,,
2.3,,,
2.316666667,,,-36.86331921
2.333333333,,-33.73287671,-37.17901027
2.35,-32.06539359,-34.04856777,-37.49470134
2.366666667,-32.38108465,,-37.81039241
2.383333333,-32.69677572,,
2.4,,-34.99564098,
2.416666667,-33.32815786,,-38.75746562
2.433333333,,,-39.07315669
2.45,,,
2.466666667,,,-39.70453882
2.483333333,-34.59092214,-36.57409633,-40.02022989
2.5,,,
2.516666667,-35.22230427,,
2.533333333,-35.53799534,,-40.9673031
